date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:35:17	47892/47892	---MCZ	200	added ('OK')	text/html	etag:W/%22bb14-58c3f3b94f780%22	https://study.eeua.ru/abidjan	C:/My%20Web%20Sites/eeua/study.eeua.ru/abidjan.html	(from )
13:35:17	129/129	---MCZ	200	added ('OK')	text/plain	etag:W/%22d5-599f9f250d037%22	https://study.eeua.ru/robots.txt		(from )
13:35:18	56471/56471	---MC-	200	added ('OK')	image/jpeg	date:Sun,%2005%20May%202019%2016:04:57%20GMT	https://static.tildacdn.com/tild3138-3962-4231-b639-323335643431/-/resize/504x/Main_1.jpg	C:/My%20Web%20Sites/eeua/static.tildacdn.com/tild3138-3962-4231-b639-323335643431/-/resize/504x/Main_1.jpg	(from https://study.eeua.ru/abidjan)
13:35:19	4112/4112	---MCZ	200	added ('OK')	text/css	etag:W/%225ddfbdac-1010%22	https://static.tildacdn.com/css/tilda-grid-3.0.min.css	C:/My%20Web%20Sites/eeua/static.tildacdn.com/css/tilda-grid-3.0.min.css	(from https://study.eeua.ru/abidjan)
13:35:20	147231/147231	---MCZ	200	added ('OK')	text/css	date:Wed,%2025%20Dec%202019%2008:34:55%20GMT	https://tilda.ws/project741630/tilda-blocks-2.12.css?t=1561578093	C:/My%20Web%20Sites/eeua/tilda.ws/project741630/tilda-blocks-2.12c221.css	(from https://study.eeua.ru/abidjan)
13:35:20	2305/2305	---MCZ	200	added ('OK')	text/css	etag:W/%225ddfbdac-901%22	https://static.tildacdn.com/css/tilda-animation-1.0.min.css	C:/My%20Web%20Sites/eeua/static.tildacdn.com/css/tilda-animation-1.0.min.css	(from https://study.eeua.ru/abidjan)
13:35:20	93064/93064	---MCZ	200	added ('OK')	application/javascript	etag:W/%225ddfbdac-16b88%22	https://static.tildacdn.com/js/jquery-1.10.2.min.js	C:/My%20Web%20Sites/eeua/static.tildacdn.com/js/jquery-1.10.2.min.js	(from https://study.eeua.ru/abidjan)
13:35:20	36495/36495	---MCZ	200	added ('OK')	application/javascript	etag:W/%225ddfbdac-8e8f%22	https://static.tildacdn.com/js/tilda-scripts-2.8.min.js	C:/My%20Web%20Sites/eeua/static.tildacdn.com/js/tilda-scripts-2.8.min.js	(from https://study.eeua.ru/abidjan)
13:35:21	31213/31213	---MCZ	200	added ('OK')	application/x-javascript	date:Wed,%2025%20Dec%202019%2008:34:55%20GMT	https://tilda.ws/project741630/tilda-blocks-2.7.js?t=1561578093	C:/My%20Web%20Sites/eeua/tilda.ws/project741630/tilda-blocks-2.7c221.js	(from https://study.eeua.ru/abidjan)
13:35:21	12221/12221	---MCZ	200	added ('OK')	application/javascript	etag:W/%225df8b240-2fbd%22	https://static.tildacdn.com/js/lazyload-1.3.min.js	C:/My%20Web%20Sites/eeua/static.tildacdn.com/js/lazyload-1.3.min.js	(from https://study.eeua.ru/abidjan)
13:35:21	15842/15842	---MCZ	200	added ('OK')	application/javascript	etag:W/%225ddfbdac-3de2%22	https://static.tildacdn.com/js/tilda-animation-1.0.min.js	C:/My%20Web%20Sites/eeua/static.tildacdn.com/js/tilda-animation-1.0.min.js	(from https://study.eeua.ru/abidjan)
13:35:22	62691/62691	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e046e27-f4e3%22	https://static.tildacdn.com/js/tilda-forms-1.0.min.js	C:/My%20Web%20Sites/eeua/static.tildacdn.com/js/tilda-forms-1.0.min.js	(from https://study.eeua.ru/abidjan)
13:35:22	128695/128695	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2002%20Jan%202020%2013:35:22%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/My%20Web%20Sites/eeua/connect.facebook.net/en_US/fbevents.js	(from https://study.eeua.ru/abidjan)
13:35:22	398/398	---MC-	200	added ('OK')	image/jpeg	date:Sat,%2002%20Nov%202019%2014:34:19%20GMT	https://static.tildacdn.com/tild3138-3962-4231-b639-323335643431/-/resize/20x/Main_1.jpg	C:/My%20Web%20Sites/eeua/static.tildacdn.com/tild3138-3962-4231-b639-323335643431/-/resize/20x/Main_1.jpg	(from https://study.eeua.ru/abidjan)
13:35:22	1703/1703	---MC-	200	added ('OK')	image/png	date:Thu,%2002%20Jan%202020%2013:35:23%20GMT	https://static.tildacdn.com/tild3963-3462-4332-b864-656464636635/-/empty/Medicall_french.jpg	C:/My%20Web%20Sites/eeua/static.tildacdn.com/tild3963-3462-4332-b864-656464636635/-/empty/Medicall_french.png	(from https://study.eeua.ru/abidjan)
13:35:23	546/546	---MC-	200	added ('OK')	image/png	date:Fri,%2002%20Nov%202018%2000:03:56%20GMT	https://static.tildacdn.com/tild6166-3334-4830-b661-376533333435/-/empty/Engineering_french.jpg	C:/My%20Web%20Sites/eeua/static.tildacdn.com/tild6166-3334-4830-b661-376533333435/-/empty/Engineering_french.png	(from https://study.eeua.ru/abidjan)
13:35:23	1895/1895	---MC-	200	added ('OK')	image/png	date:Thu,%2002%20Jan%202020%2013:35:23%20GMT	https://static.tildacdn.com/tild6137-3536-4564-b862-306533376562/-/empty/Aviation2.jpg	C:/My%20Web%20Sites/eeua/static.tildacdn.com/tild6137-3536-4564-b862-306533376562/-/empty/Aviation2.png	(from https://study.eeua.ru/abidjan)
